,beanChargeTemperature,beanDropTemperature,drumChargeTemperature,drumDropTemperature,preheatTemperature,roastStartIndex,roastEndIndex,totalRoastTime,indexFirstCrackStart,indexFirstCrackEnd,indexYellowingStart,weightGreen,weightRoasted,weightLostPercent,deltaTemp,roastNumber,sampleRate,firmware,missingSeconds,dateTime,roastName,comments,updatedAt,ambient,humidity,rating,beanId,Drop-ChargeDeltaTemp,indexTurningPoint,ibtsTurningPointTemp,index165PT,turningPointTime,yellowPointTime,firstCrackTime,time/temp,deltaIBTS-BT
0,125.9,187.6,237.7,204.6,240,0,1099,9.116666666666667,880.0,0,756,370,,,,8,2,562,[],2020-07-25 01:53:27.716,First Post-seasoning,First real attempt after seasoning. Several small adjustments at FC did not react as quickly as expected.  Probably should have finished hotter or longer/ 408 finishing temp.  Confusion around BT readings due to lack of clarity and mixed nomenclature from Allio.,,78.0,90.0,2,3105b557-916f-40b6-bec1-59f17c2a8fd7,61.69999999999999,111.0,100.1,422.0,0.925,6.3,7.333333333333333,0.048596304193319124,17.0
1,150.1,189.8,244.9,207.6,245,0,971,8.05,760.0,0,406,380,336.0,11.578947368421053,,9,2,562,[],2020-07-29 00:49:27.878,2nd Ethopia Extended Dev,Better results to drop temp by increasing fan speed near FC. Some unnecessary fiddling with P's.  Tried lower D speed as Roasting Navigated said D8 is ideally less than threshold for centrufigle force lock. Accidently hit cool at first alarm but didn't drop... lowered fan and increased the auto-d1 drum speed to keep it cracking longer,,,50.0,2,3105b557-916f-40b6-bec1-59f17c2a8fd7,39.70000000000002,117.0,104.8,403.0,0.975,3.3833333333333333,6.333333333333333,0.04241306638566913,17.799999999999983
2,147.8,202.6,245.1,216.1,245,0,1031,8.55,838.0,0,422,490,425.0,13.26530612244898,,10,2,562,[],2020-07-31 01:52:38.079,First BBP attempt - CItyish,"First BBP PH try. PH to 260 9 mins + 2 min hold and droped to 240 & 245 over about 8 additional mins. 
Tried P8 w/ larger batch size. Difficult to control FC rise. Increase of Fan B4 first crack might have brought temp up. Color appeared darker as roaster becomes more seasoned and chaffe looked burnt (higher PH?). Beans have nice mild milk chocolate smell in early degassing.",,,,2,3105b557-916f-40b6-bec1-59f17c2a8fd7,54.79999999999998,113.0,97.4,422.0,0.9416666666666667,3.5166666666666666,6.983333333333333,0.042201382033563675,13.5
3,150.0,199.8,245.3,208.6,245,0,1125,9.333333333333334,872.0,0,448,490,,,,12,2,562,[],2020-08-03 01:11:19.393,Ethiopia #4  w/ marcel,"Tried to use an increased fan speed to mitgate the rise at the first crack.
used about a 20-25 min preheat, did not see a huge positive effect from that PH.  Should step up to P8 at charge to get a greater ROR start",,71.0,75.0,2,3105b557-916f-40b6-bec1-59f17c2a8fd7,49.80000000000001,,,448.0,,3.7333333333333334,7.266666666666667,0.04671338004671338,8.799999999999983
4,158.7,198.9,247.3,211.0,245,0,1037,8.6,780.0,0,402,490,427.0,12.857142857142858,,13,2,562,[],2020-08-03 23:50:41.198,Ethiopian 5th - Hot Start,"Started with a long 35mins PH to 260, then droppd to 240.  Began at P9 to try and get a >20 ROR spike. Planned to drop 1P every 2:30, but needed more at the end.  Again tended to plateau ROR in middle of roast.
Dissapointed in the shape but understanding how modulation or vatious methods can and cannot be represented in the profile.
Tried to pick at yellowing point. Potentially IR @150",,80.0,52.0,2,3105b557-916f-40b6-bec1-59f17c2a8fd7,40.20000000000002,119.0,103.0,402.0,0.9916666666666667,3.35,6.5,0.043237807943690296,12.099999999999994
5,157.6,197.3,243.8,205.1,245,0,1180,9.783333333333333,836.0,0,404,490,421.0,14.081632653061224,,17,2,562,[],2020-08-08 21:07:34.091,"#7 Ethopian - no fan, applied reading, meh","Could not control ROR at 1C, again at 10. Hoping it could get it down to 5.
I tried to follow several steps in Rao's book including dropping power 2 min B4 1c (followed by fan increase 5 sec later), drop power 45 sec B4 1C, and halve during 1C (althought i started halving at 7% DTR instead of 12%).  A few panicy points as well when I notcied the curves looking mostly like my previous ones and not dropping.  Bullet on dedicated extension cord, fan across the room. Roasted 5pm and hottter outside",,85.0,40.0,2,3105b557-916f-40b6-bec1-59f17c2a8fd7,39.70000000000002,123.0,107.1,404.0,1.025,3.3666666666666667,6.966666666666667,0.04958607872951512,7.799999999999983
6,153.8,187.1,239.8,197.6,240,0,1301,10.8,988.0,1292,504,490,425.0,13.26530612244898,,18,2,562,[],2020-08-11 01:17:32.258,1/8 Guat Xinabajul Cuchu,"First guat roast, Felt like I did a good job of droping power to keep ROR falling. Based on some of my written notes but wanted to drop power after the inital ROR peak to keep it falling.  Potentially negative due to sorta crash at end, dropped below and 0 ROR and dropped at or below 200C. Overall, getting better...instinct or luck",,82.0,46.0,3,c0ce6a21-1edf-442b-a721-b295b5c20956,33.29999999999998,121.0,88.8,504.0,1.0083333333333333,4.2,8.233333333333333,0.05772314270443613,10.5
7,159.9,182.7,243.9,202.4,245,0,1621,13.466666666666667,1476.0,0,510,470,404.0,14.042553191489361,,19,2,562,[],2020-08-13 00:08:55.727,9 Nica DP with Rob,"dropped heat a lot to control high ROR,  found a very low and slow approach to FC. nice smell, confusing but good",,80.0,56.0,3,2340d664-e08e-4539-bcb6-c7b1a56d6e64,22.799999999999983,129.0,97.5,509.0,1.075,4.25,12.3,0.07370917715745302,19.700000000000017
8,132.9,187.3,215.5,199.9,215,0,1291,10.716666666666667,1128.0,0,616,470,411.0,12.553191489361701,,19,2,562,[],2020-08-13 00:58:46.178,10 Peru with Rob,Rob coming thru with the details on lower charge and power to get smoother ROR. Potential flat line in there,,79.0,56.0,3,bdad6ba2-15e8-4a67-bfb1-b63d7908f8cf,54.400000000000006,121.0,85.4,611.0,1.0083333333333333,5.133333333333334,9.4,0.057216586581242214,12.599999999999994
9,121.7,172.2,201.5,204.4,200,0,1073,8.9,950.0,0,548,300,,,,19,2,562,[],2020-08-13 01:26:44.681,#11 Ethiopia Agaro Nano Challa w/ Rob,,,,,0,15149f1f-7c4c-4f5a-a830-f7ed5c9399f9,50.499999999999986,115.0,88.1,547.0,0.9583333333333334,4.566666666666666,7.916666666666667,0.05168408826945413,32.20000000000002
